Simulation #,Day #,Step #,Minute #,Infected ID,Other ID,Close Range Transmission,Shared Room Transmission,Long Range Transmission,Transmission by Minute,Transmission by Hour,Cause of Infection,Infection Occurs,Distance
0,0,0,24,10,0,3.154159450291516e-07,4.969397122689401e-07,3.154133032534645e-08,8.438969876234381e-07,5.063320431415227e-05,no transmission,False,10.799999999999999
0,0,0,24,10,1,1.2871506460676585e-07,4.969397122689401e-07,1.2871462451435889e-08,6.385262393271418e-07,3.831110765014148e-05,no transmission,False,12.074767078498864
0,0,0,24,10,2,1.357964596326866e-08,4.969397122689401e-07,1.3579640745220445e-09,5.118773223067308e-07,3.0712201919308625e-05,no transmission,False,15.273506473629425
0,0,0,24,10,3,7.103793109308754e-10,4.969397122689401e-07,7.103795329754803e-11,4.977211295331685e-07,2.986283067399101e-05,no transmission,False,19.469976887505542
0,0,0,24,10,4,2.6459501256681506e-11,4.969397122689401e-07,2.6459945345891356e-12,4.969688177647313e-07,2.981769196603313e-05,no transmission,False,24.149534156997728
0,0,0,24,10,5,1.4059086637208118e-05,4.969397122689401e-07,1.4053839952898883e-06,1.5961410344766946e-05,0.0009573309283153414,no transmission,False,5.3999999999999995
0,0,0,24,10,6,2.9162093313495063e-06,4.969397122689401e-07,2.9159835523984157e-07,3.704747398858288e-06,0.00022226920461684995,no transmission,False,7.636753236814712
0,0,0,24,10,7,1.2871506460676585e-07,4.969397122689401e-07,1.2871462451435889e-08,6.385262393271418e-07,3.831110765014148e-05,no transmission,False,12.074767078498864
0,0,0,24,10,8,3.822988925428206e-09,4.969397122689401e-07,3.8229885923612983e-10,5.011450000536044e-07,3.0068262885476755e-05,no transmission,False,17.07629936490925
0,0,0,24,10,9,9.956258040233479e-11,4.969397122689401e-07,9.956258040233479e-12,4.970492311073826e-07,2.9822516773491617e-05,no transmission,False,22.264770378335367
0,0,0,24,10,11,1.4059086637208118e-05,4.969397122689401e-07,1.4053839952898883e-06,1.5961410344766946e-05,0.0009573309283153414,no transmission,False,5.3999999999999995
0,0,0,24,10,12,3.154159450291516e-07,4.969397122689401e-07,3.154133032534645e-08,8.438969876234381e-07,5.063320431415227e-05,no transmission,False,10.799999999999999
0,0,0,24,10,13,7.079169250800987e-09,4.969397122689401e-07,7.079168362622568e-10,5.047267983560033e-07,3.0283170717720923e-05,no transmission,False,16.200000000000003
0,0,0,24,10,14,1.588856823886431e-10,4.969397122689401e-07,1.588862375001554e-11,4.971144865750787e-07,2.9826432097546178e-05,no transmission,False,21.599999999999998
0,0,0,24,10,15,1.4059086637208118e-05,4.969397122689401e-07,1.4053839952898883e-06,1.5961410344766946e-05,0.0009573309283153414,no transmission,False,5.3999999999999995
0,0,0,24,10,16,2.9162093313495063e-06,4.969397122689401e-07,2.9159835523984157e-07,3.704747398858288e-06,0.00022226920461684995,no transmission,False,7.636753236814712
0,0,0,24,10,17,1.2871506460676585e-07,4.969397122689401e-07,1.2871462451435889e-08,6.385262393271418e-07,3.831110765014148e-05,no transmission,False,12.074767078498864
0,0,0,24,10,18,3.822988925428206e-09,4.969397122689401e-07,3.8229885923612983e-10,5.011450000536044e-07,3.0068262885476755e-05,no transmission,False,17.07629936490925
0,0,0,24,10,19,9.956258040233479e-11,4.969397122689401e-07,9.956258040233479e-12,4.970492311073826e-07,2.9822516773491617e-05,no transmission,False,22.264770378335367
0,0,0,24,10,20,3.154159450291516e-07,4.969397122689401e-07,3.154133032534645e-08,8.438969876234381e-07,5.063320431415227e-05,no transmission,False,10.799999999999999
0,0,0,24,10,21,1.2871506460676585e-07,4.969397122689401e-07,1.2871462451435889e-08,6.385262393271418e-07,3.831110765014148e-05,no transmission,False,12.074767078498864
0,0,0,24,10,22,1.357964596326866e-08,4.969397122689401e-07,1.3579640745220445e-09,5.118773223067308e-07,3.0712201919308625e-05,no transmission,False,15.273506473629425
0,0,0,24,10,23,7.103793109308754e-10,4.969397122689401e-07,7.103795329754803e-11,4.977211295331685e-07,2.986283067399101e-05,no transmission,False,19.469976887505542
